customer_inn,customer_kpp,contract_subject,contract_price_rub,advance_sum_percents,subcontractor_sum_percents,enforcement_type,enforcement_amount_rub,supplier_inn,supplier_kpp,log_price,tru_okpd2_code_y,participant_inn,participant_kpp,fz,procedure_qty,win_qty,winrate,untrustworthy_flag
7811022801,781101001,-1,599.99,-1.0,-1.0,-1,-1.0,2537124300.0,253701001.0,2.7788672457449186,85.31.11.000,2537124300.0,250201001.0,44fz,1288.0,227.0,0.17624223602484473,1.0
5045025244,504501001,услуга на поставку учебной литературы (издательство Вентана-Граф),14000.0,-1.0,-1.0,-1,-1.0,7714016753.0,771401001.0,4.1461590556048185,58.11.11.000,7714016753.0,770301001.0,44fz,1.0,1.0,1.0,0.0
2469003062,246901001,-1,22840.64,-1.0,-1.0,bankGuarantee,4042.6,2461022017.0,246301001.0,4.358727282471387,32.50.50.000,2461022017.0,246301001.0,44fz,10.0,8.0,0.8,0.0
4101036120,410101001,Поставка изделий медицинского назначения,10460.0,-1.0,-1.0,-1,-1.0,2723071046.0,272401001.0,4.019573202095639,22.19.71.120,2723071046.0,272301001.0,223fz,4.0,3.0,0.75,0.0
6455046666,645501001,-1,675360.0,-1.0,-1.0,bankGuarantee,103968.0,9709008782.0,770901001.0,5.829535977866126,21.20.10.254,9709008782.0,770901001.0,223fz,181.0,156.0,0.861878453038674,0.0
8901007006,890101001,Поставка лекарственного препарата для медицинского применения Эноксапарин натрия,139059.36,-1.0,-1.0,cashAccount,6988.26,7709446260.0,770901001.0,5.143203349354294,21.20.10.131,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.0
8601004445,860101001,-1,238000.0,-1.0,-1.0,cashAccount,70000.0,9102177780.0,910201001.0,5.3765787818194095,21.20.10.191,9102177780.0,775101000.0,44fz,1.0,1.0,1.0,0.0
3219000590,324101001,Мундштук для алкотектора PRO-100 touch-M,8640.0,-1.0,-1.0,-1,-1.0,3250518626.0,325701001.0,3.936564005135266,22.29.29.190,3250518626.0,1.0,44fz,4.0,4.0,1.0,0.0
3915004550,391501001,поставка автомобиля для оказания неотложной медицинской помощи,641775.0,-1.0,-1.0,cashAccount,64500.0,5244013941.0,524401001.0,5.807383472088786,29.10.24.000,5244013941.0,524401001.0,223fz,3.0,1.0,0.3333333333333333,0.0
2466049340,246601001,"ЭА 43580/19 На право поставки оборудования (компьютерное оборудование) в рамках реализации государственной программы, связанной с реализацией организационно-планировочных решений медицинских организаций",736422.95,-1.0,-1.0,bankGuarantee,48177.0,2466192870.0,246601001.0,5.867127904198766,26.20.18.000,2466192870.0,246601001.0,223fz,5.0,2.0,0.4,0.0
7515005796,751501001,-1,294200.0,-1.0,-1.0,-1,-1.0,7515005891.0,751501001.0,5.468644144576908,35.30.11.119,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.0
4629019420,463201001,-1,267652.8,-1.0,-1.0,-1,-1.0,4632050564.0,463201001.0,5.427573413635072,86.90.15.000,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.0
1901017682,190101001,-1,113564.88,-1.0,-1.0,-1,-1.0,7731345620.0,773101001.0,5.055247870516759,21.20.10.212,7731345620.0,773010100.0,44fz,5.0,5.0,1.0,0.0
5190163962,519001001,Поставка смазочных материалов и охлаждающих жидкостей,173268.0,-1.0,-1.0,bankGuarantee,26325.0,525204769872.0,-1.0,5.238720868927254,47.30.20.000,525204769872.0,-1.0,223fz,1.0,0.0,0.0,0.0
5256045881,525601001,-1,651000.0,-1.0,-1.0,-1,-1.0,5256049357.0,785150001.0,5.8135816556867,35.30.12.110,5256049357.0,525350000.0,44fz,1.0,1.0,1.0,0.0
3123002420,312301001,"Выполнение подрядных работ по объекту:  «Ремонт пер. 2-й Лучевой в районе домов №№ 1, 3, 5, 9  в г. Белгороде»",1256861.0,-1.0,-1.0,bankGuarantee,377058.3,3124013858.0,312301001.0,6.099287595960737,42.11.20.000,3124013858.0,312301001.0,44fz,21.0,21.0,1.0,0.0
6148002931,614801001,-1,220800.15,-1.0,-1.0,cashAccount,11040.01,6163126233.0,616301001.0,5.344001331001698,95.11.10.130,6163126233.0,616301001.0,223fz,36.0,23.0,0.6388888888888888,0.0
9202002504,920201001,-1,35532.0,-1.0,-1.0,cashAccount,1880.0,2537124300.0,253701001.0,4.550631875894728,85.42.19.900,2537124300.0,250201001.0,44fz,1288.0,227.0,0.17624223602484473,1.0
4238011729,423801001,Поставка масла сливочного,53152.28,-1.0,-1.0,cashAccount,2657.61,4252007178.0,425201001.0,4.725530069272268,10.51.30.110,4252007178.0,425201001.0,223fz,47.0,43.0,0.9148936170212766,1.0
7512000239,751201001,Поставка рентгенозащитной двери (7050-ЭА),44708.66,-1.0,-1.0,cashAccount,2246.67,7536147294.0,753601001.0,4.65040136723584,25.12.10.000,7536147294.0,753601001.0,44fz,254.0,115.0,0.452755905511811,0.0
7816010920,781601001,-1,65000.0,-1.0,-1.0,cashAccount,14145.71,7813461868.0,781301001.0,4.812920038045028,49.41.19.000,7813461868.0,781301001.0,44fz,35.0,7.0,0.2,0.0
1654004245,165501001,Поставка кондиционеров с установкой,214200.0,-1.0,-1.0,cashAccount,18000.0,1657149305.0,165701001.0,5.330821494009694,28.25.12.130,1657149305.0,165701001.0,44fz,15.0,7.0,0.4666666666666667,0.0
5005031040,500501001,-1,305050.0,-1.0,-1.0,-1,-1.0,7736520080.0,997650001.0,5.4843724530090165,35.13.10.000,7736520080.0,1.0,44fz,1.0,1.0,1.0,0.0
254005563,25401001,-1,1198879.35,-1.0,-1.0,bankGuarantee,334882.5,267009815.0,26701001.0,6.0787758420415665,41.20.40.000,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.0
2510007430,251001001,-1,111977.03,-1.0,-1.0,-1,-1.0,7715995942.0,770701001.0,5.049132822797694,58.11.11.000,7715995942.0,440701001.0,223fz,1.0,1.0,1.0,0.0
2634038505,263401001,-1,4609140.0,-1.0,-1.0,bankGuarantee,231615.12,2623802052.0,262301001.0,6.663619993996792,42.91.20.190,2623802052.0,262301001.0,44fz,18.0,7.0,0.3888888888888889,0.0
7729423688,772901001,-1,153230.0,-1.0,-1.0,cashAccount,7700.0,90901039508.0,-1.0,5.185346635838306,49.32.11.000,90901039508.0,-1.0,223fz,1.0,0.0,0.0,0.0
411152899,41101001,-1,529700.0,-1.0,-1.0,cashAccount,26485.0,2224197068.0,222401001.0,5.724030792822462,26.20.13.000,2224197068.0,222401001.0,223fz,5.0,3.0,0.6,0.0
7709295766,770901001,Поставка запасных частей для текущего ремонта системы мониторинга деформационного состояния несущих конструкций для нужд филиала ФГБУ «ЦСП» в г. Сочи,508068.0,-1.0,-1.0,bankGuarantee,51320.0,2312010632.0,231201001.0,5.705922697095575,26.30.11.190,2312010632.0,231201001.0,223fz,2.0,2.0,1.0,0.0
7802030429,781401001,Поставка автоматизированных рабочих мест,1592060.0,-1.0,-1.0,bankGuarantee,159206.0,7839104229.0,783901001.0,6.201959703763377,26.20.13.000,7839104229.0,783901001.0,223fz,141.0,55.0,0.3900709219858156,0.0
2610000157,261001001,Поставка триммера бензинового,20000.0,-1.0,-1.0,cashAccount,1614.33,263119469261.0,-1.0,4.301051709845226,28.30.40.000,263119469261.0,-1.0,44fz,46.0,9.0,0.1956521739130435,0.0
